11,"Responsable Marketing, Communication et Digital (H/F)","Marketing - Concevoir et mettre en oeuvre le marketing des offres par ligne de produits / services (positionnement, cible, tarification) - Construire le plan marketing opérationnel - Créer et optimiser les campagnes marketing et mesurer le RSI - Créer, diffuser et analyser des enquêtes dans le cadre de la démarche qualité - Réaliser des études de marché et assurer une veille permanente Communication - Participer à la définition de la politique de communication - Elaborer, mettre en oeuvre et suivre les plans de communication - Définir la ligne éditoriale et la création de contenus - Réaliser des outils/supports de communication - Organiser des opérations événementielles (JPO / salons / remise de diplômes / conférences / associations) - Développer et gérer des actions de sponsoring et de mécénat Digital - Définir la stratégie digitale - Administrer les sites (Wordpress / Drupal) et réseaux sociaux (LinkedIn, FB, Twitter, etc.) - Analyser la stratégie et le positionnement sur les marchés digitaux - Gérer le référencement SEM (SEA+SEO+SMO) ",Temps plein,10.5,Caen,TRUE,49.199791,-0.394464,13/06/2019
14,Foreur / Foreuse (H/F),"Vos missions : visée, choix du taillant, déroulement foration forer en respectant les paramètres d'inclinaison et de profondeur marquage sur le plan de foration des incidents géologiques améliorer la cadence de foration contrôle de la hauteur",Temps plein,9,Caen,TRUE,49.182673,-0.365959,14/06/2019
16,Professeur / Professeure d'éducation musicale (H/F),"Vous enseignerez pour 8 h hebdomadaires au Collège Jacques Monod à CAEN jusqu'au 06/07/2019. Le salaire indiqué correspond à un BAC + 3 (minimum exigé) Candidature à déposer obligatoirement sur le site de l'académie de CAEN (lettre de motivation, CV, copie de diplôme (s).",Temps partiel,7,Caen,TRUE,49.178674,-0.38243,15/06/2019
14,Ouvrier / Ouvrière paysagiste (H/F),"Votre mission sera de : - Tailler les arbres et arbustes : taille ornementale, structurale et sculpturale - Entretenir les surfaces: tonte de gazons, binage des massifs, ramassage des feuilles - Entretenir le matériel utilisé - Entretenir et aménager des petits espaces paysagers",Temps plein,10.05,Caen,TRUE,49.184597,-0.357282,16/06/2019
22,Couturier / Couturière (H/F),"Description du profil : Autodidacte ou professionnel, vous êtes habile de vos mains et affectionnez le travail manuel. Vous travaillez de journée au sein d'une équipe. Une première expérience dans les métiers de la mode sera appréciée.",Temps plein,10,Caen,TRUE,49.176454,-0.35257,17/06/2019
31,Ramoneur / Ramoneuse (H/F),"Le Ramoneur est un professionnel, qui s'est spécialisé dans une discipline donnée : le nettoyage d'un conduit ou d'un appareil où la suie s'est déposée... Il assure l'entretien et adopte une démarche de prévention.",Temps plein,10,Caen,TRUE,49.182673,-0.36597,18/06/2019
14,Manoeuvre manutentionnaire (H/F),"Mission : Vous serez en charge d'établir les finitions du chantier. On attend de notre candidat une polyvalence dans ces 4 domaines : peinture, serrurerie, bardage, couverture. Taux horaire : Selon la grille du bâtiment.",Temps plein,10,Caen,TRUE,49.182673,-0.36597,19/06/2019
21,Chef d'équipe (H/F),"Vous travaillez sous la responsabilité du chef de chantier Vous encadrez, animez et conduisez une équipe Vous prenez les initiatives nécessaires à l'organisation et la réalisation des tâches à effectuer par votre équipe Vous assurez la liaison avec le chef de chantier et veillez à tenir les délais impartis Vous organisez sur le terrain le travail de l'équipe Vous contrôlez la bonne réalisation des tâches",Temps plein,10,Caen,TRUE,49.182673,-0.36597,20/06/2019
15,Pâtissier / Pâtissière de restaurant (H/F),"<ul>Vos missions: <li>Sélectionner et doser les ingrédients (farine, levure, additifs, ...) pour la réalisation des produits</li><li>Pétrir des pâtes de pâtisserie et les préparer (fonçage, garnissage, ...)</li><li>Mélanger les ingrédients des pâtes, des crèmes, des garnitures et des entremets</li><li>Procéder à la cuisson de produits de pâtisserie, de confiserie, de pièces de chocolat</li><li>Effectuer le montage et la décoration des produits (assemblage de couches de biscuit, de crème au beurre, nappage, glaçage, ...)</li><li>Nettoyer et maintenir en état de propreté et d'hygiène le plan de travail, les outils et les locaux</li><li>Dresser les assiettes.</li>",Temps plein,10,Caen,TRUE,49.182673,-0.36597,21/06/2019
31,Téléconseiller / Téléconseillère (H/F),"Votre mission : En équipe, vous proposez aux passants de donner mensuellement par prélèvement.",Temps plein,10,Caen,TRUE,49.182673,-0.36597,22/06/2019
22,Ingénieur / Ingénieure pollution atmosphérique (H/F),"Dans ce cadre, vos missions sont les suivantes: - Vous préparez votre matériel (système de prélèvement, analyseur en continue) en fonction des prélèvements à réaliser - Vous réalisez les prélèvements et mesures de rejets atmosphériques, analysez les données et rédigez les rapports d'essais - Vous entretenez votre matériel - Vous participez au quotidien au développement de l'activité Mesures",Temps plein,10,Caen,TRUE,49.184597,-0.357282,23/06/2019
15, Employé polyvalent / Employée polyvalente de restauration,"Votre mission consistera à mettre en place le restaurant, à prendre les commandes, en vue d'un service direct à table, à emporter ou à livrer, à réaliser des préparations culinaires simples, en conformité avec les fiches techniques, dresser des plats et les amener aux clients en salle. Vous devrez appliquer les règles d'hygiène et de sécurité alimentaire, procéder au nettoyage, et à l'entretien des équipements et des locaux. Ambiance conviviale et dynamique.",Temps partiel,10.03,Caen,TRUE,49.183359,-0.365068,24/06/2019
21,Responsable de centre de profit (H/F),vous serez en charge: - de la coordination des activités (installation - remise en état - maintenance) en veillant au strict respect de la notion de QCD - de l'élaboration des devis et des offres associées ainsi que leur accompagnement - du développement de l'activité commerciale sur votre périmètre - du management de votre équipe dont le volet SHSE,Temps plein,20,Caen,TRUE,49.187003,-0.385509,25/06/2019
